第10组第5题的得分为84, 备注信息：, 时间：2017-09-17 17:11:11
第3组第5题的得分为106, 备注信息：, 时间：2017-09-17 17:38:08
第10组第1题的得分为120, 备注信息：, 时间：2017-09-17 17:38:10
第10组第1题的得分为120, 备注信息：, 时间：2017-09-17 17:38:12
第10组第1题的得分为120, 备注信息：, 时间：2017-09-17 17:38:26
第6组第7题的得分为100, 备注信息：, 时间：2017-09-17 17:38:43
第3组第5题的得分为106, 备注信息：, 时间：2017-09-17 17:39:01
第3组第5题的得分为106, 备注信息：, 时间：2017-09-17 17:39:37
第10组第1题的得分为120, 备注信息：, 时间：2017-09-17 17:41:07
第8组第3题的得分为90, 备注信息：, 时间：2017-09-17 17:41:12
第10组第2题的得分为100, 备注信息：, 时间：2017-09-17 17:41:21
第8组第3题的得分为90, 备注信息：, 时间：2017-09-17 17:41:29
第3组第7题的得分为150, 备注信息：, 时间：2017-09-17 17:41:41
第8组第3题的得分为90, 备注信息：, 时间：2017-09-17 17:41:51
第1组第6题的得分为130, 备注信息：, 时间：2017-09-17 17:42:13
第1组第5题的得分为110, 备注信息：, 时间：2017-09-17 17:45:25
第8组第3题的得分为90, 备注信息：, 时间：2017-09-17 17:45:59
第7组第1题的得分为110, 备注信息：, 时间：2017-09-17 17:46:55
第7组第1题的得分为110, 备注信息：, 时间：2017-09-17 17:47:00
第11组第6题的得分为130, 备注信息：, 时间：2017-09-17 17:47:01
第4组第4题的得分为60, 备注信息：, 时间：2017-09-17 17:47:39
第1组第5题的得分为110, 备注信息：, 时间：2017-09-17 17:49:27
第8组第8题的得分为70, 备注信息：, 时间：2017-09-17 17:49:59
第10组第3题的得分为85, 备注信息：, 时间：2017-09-17 17:51:14
第10组第3题的得分为85, 备注信息：, 时间：2017-09-17 17:51:19
第3组第2题的得分为100, 备注信息：, 时间：2017-09-17 17:51:35
第1组第9题的得分为100, 备注信息：, 时间：2017-09-17 17:52:16
第10组第3题的得分为85, 备注信息：, 时间：2017-09-17 17:52:24
第11组第6题的得分为130, 备注信息：, 时间：2017-09-17 17:52:38
第1组第5题的得分为110, 备注信息：, 时间：2017-09-17 17:52:52
第7组第8题的得分为50, 备注信息：, 时间：2017-09-17 17:53:05
第5组第1题的得分为150, 备注信息：, 时间：2017-09-17 17:53:38
第5组第1题的得分为150, 备注信息：, 时间：2017-09-17 17:53:41
第10组第3题的得分为85, 备注信息：, 时间：2017-09-17 17:53:50
第1组第5题的得分为110, 备注信息：, 时间：2017-09-17 17:53:52
第6组第6题的得分为110, 备注信息：, 时间：2017-09-17 17:54:53
第8组第7题的得分为150, 备注信息：, 时间：2017-09-17 17:55:07
第3组第2题的得分为100, 备注信息：, 时间：2017-09-17 17:55:16
第1组第5题的得分为110, 备注信息：, 时间：2017-09-17 17:56:14
第6组第6题的得分为110, 备注信息：, 时间：2017-09-17 17:56:50
第10组第3题的得分为85, 备注信息：, 时间：2017-09-17 17:56:57
第1组第5题的得分为110, 备注信息：, 时间：2017-09-17 17:57:12
第7组第8题的得分为50, 备注信息：, 时间：2017-09-17 17:58:50
第5组第1题的得分为150, 备注信息：, 时间：2017-09-17 17:59:55
第2组第9题的得分为100, 备注信息：, 时间：2017-09-17 18:00:20
第5组第1题的得分为150, 备注信息：, 时间：2017-09-17 18:00:35
第3组第6题的得分为120, 备注信息：, 时间：2017-09-17 18:01:18
第4组第2题的得分为80, 备注信息：, 时间：2017-09-17 18:03:13
第1组第10题的得分为1, 备注信息：, 时间：2017-09-17 18:03:17
第5组第1题的得分为150, 备注信息：, 时间：2017-09-17 18:03:31
第4组第2题的得分为80, 备注信息：, 时间：2017-09-17 18:03:46
第3组第6题的得分为120, 备注信息：, 时间：2017-09-17 18:04:23
第5组第1题的得分为150, 备注信息：, 时间：2017-09-17 18:05:12
第5组第1题的得分为150, 备注信息：, 时间：2017-09-17 18:06:13
第11组第7题的得分为100, 备注信息：, 时间：2017-09-17 18:06:23
第8组第9题的得分为100, 备注信息：, 时间：2017-09-17 18:06:26
第7组第8题的得分为50, 备注信息：, 时间：2017-09-17 18:07:08
第6组第5题的得分为106, 备注信息：, 时间：2017-09-17 18:07:19
第10组第3题的得分为85, 备注信息：, 时间：2017-09-17 18:09:54
第4组第5题的得分为102, 备注信息：, 时间：2017-09-17 18:10:06
第7组第8题的得分为50, 备注信息：, 时间：2017-09-17 18:10:17
第5组第1题的得分为150, 备注信息：, 时间：2017-09-17 18:10:54
第9组第1题的得分为100, 备注信息：, 时间：2017-09-17 18:12:04
第8组第5题的得分为118, 备注信息：, 时间：2017-09-17 18:12:06
第9组第1题的得分为100, 备注信息：, 时间：2017-09-17 18:12:08
第9组第1题的得分为100, 备注信息：, 时间：2017-09-17 18:12:34
第9组第1题的得分为100, 备注信息：, 时间：2017-09-17 18:12:54
第10组第3题的得分为85, 备注信息：, 时间：2017-09-17 18:13:54
第8组第5题的得分为114, 备注信息：, 时间：2017-09-17 18:14:00
第2组第2题的得分为90, 备注信息：, 时间：2017-09-17 18:14:19
第10组第4题的得分为75, 备注信息：, 时间：2017-09-17 18:15:50
第6组第3题的得分为100, 备注信息：, 时间：2017-09-17 18:17:03
第6组第3题的得分为100, 备注信息：, 时间：2017-09-17 18:17:05
第5组第2题的得分为70, 备注信息：, 时间：2017-09-17 18:18:30
第3组第1题的得分为130, 备注信息：, 时间：2017-09-17 18:20:56
第3组第1题的得分为130, 备注信息：, 时间：2017-09-17 18:21:02
第7组第2题的得分为110, 备注信息：, 时间：2017-09-17 18:22:40
第1组第10题的得分为1, 备注信息：, 时间：2017-09-17 18:23:38
第2组第4题的得分为70, 备注信息：, 时间：2017-09-17 18:24:55
第3组第6题的得分为120, 备注信息：, 时间：2017-09-17 18:25:09
第4组第7题的得分为150, 备注信息：, 时间：2017-09-17 18:25:14
第11组第1题的得分为120, 备注信息：, 时间：2017-09-17 18:25:39
第8组第5题的得分为114, 备注信息：, 时间：2017-09-17 18:26:41
第1组第2题的得分为110, 备注信息：, 时间：2017-09-17 18:27:04
第1组第2题的得分为110, 备注信息：, 时间：2017-09-17 18:28:22
第3组第6题的得分为120, 备注信息：, 时间：2017-09-17 18:28:51
第9组第10题的得分为1, 备注信息：, 时间：2017-09-17 18:29:38
第6组第1题的得分为120, 备注信息：, 时间：2017-09-17 18:29:58
第8组第4题的得分为65, 备注信息：, 时间：2017-09-17 18:29:58
第6组第1题的得分为120, 备注信息：, 时间：2017-09-17 18:30:00
第3组第6题的得分为120, 备注信息：, 时间：2017-09-17 18:30:26
第3组第6题的得分为120, 备注信息：, 时间：2017-09-17 18:30:36
第10组第7题的得分为150, 备注信息：, 时间：2017-09-17 18:30:37
第3组第6题的得分为120, 备注信息：, 时间：2017-09-17 18:30:49
第7组第7题的得分为150, 备注信息：, 时间：2017-09-17 18:31:09
第6组第1题的得分为120, 备注信息：, 时间：2017-09-17 18:31:29
第7组第8题的得分为50, 备注信息：, 时间：2017-09-17 18:32:49
第6组第3题的得分为100, 备注信息：, 时间：2017-09-17 18:33:54
第6组第1题的得分为120, 备注信息：, 时间：2017-09-17 18:33:57
第3组第9题的得分为100, 备注信息：, 时间：2017-09-17 18:34:30
第5组第4题的得分为65, 备注信息：, 时间：2017-09-17 18:34:33
第6组第8题的得分为50, 备注信息：, 时间：2017-09-17 18:35:47
第6组第1题的得分为120, 备注信息：, 时间：2017-09-17 18:36:13
第2组第5题的得分为120, 备注信息：, 时间：2017-09-17 18:36:35
第10组第10题的得分为1, 备注信息：, 时间：2017-09-17 18:37:11
第6组第1题的得分为120, 备注信息：, 时间：2017-09-17 18:37:50
第11组第2题的得分为80, 备注信息：, 时间：2017-09-17 18:38:06
第6组第3题的得分为100, 备注信息：, 时间：2017-09-17 18:38:11
第1组第4题的得分为70, 备注信息：, 时间：2017-09-17 18:40:22
第3组第6题的得分为120, 备注信息：, 时间：2017-09-17 18:40:36
第8组第2题的得分为100, 备注信息：, 时间：2017-09-17 18:41:40
第2组第5题的得分为120, 备注信息：, 时间：2017-09-17 18:41:42
第10组第10题的得分为1, 备注信息：, 时间：2017-09-17 18:43:25
第5组第3题的得分为95, 备注信息：, 时间：2017-09-17 18:43:32
第99组第5题的得分为-11111, 备注信息：, 时间：2017-09-17 18:43:39
第7组第4题的得分为50, 备注信息：, 时间：2017-09-17 18:44:36
第8组第2题的得分为100, 备注信息：, 时间：2017-09-17 18:44:37
第99组第5题的得分为-11111, 备注信息：, 时间：2017-09-17 18:44:54
第99组第5题的得分为-11111, 备注信息：, 时间：2017-09-17 18:45:07
第2组第10题的得分为1, 备注信息：, 时间：2017-09-17 18:45:23
第3组第6题的得分为120, 备注信息：, 时间：2017-09-17 18:47:32
第3组第10题的得分为1, 备注信息：, 时间：2017-09-17 18:47:49
第6组第4题的得分为55, 备注信息：, 时间：2017-09-17 18:47:50
第10组第6题的得分为150, 备注信息：, 时间：2017-09-17 18:47:52
第1组第1题的得分为110, 备注信息：, 时间：2017-09-17 18:48:45
第1组第1题的得分为110, 备注信息：, 时间：2017-09-17 18:49:13
第99组第7题的得分为10000000000, 备注信息：, 时间：2017-09-17 18:49:33
第7组第10题的得分为1, 备注信息：, 时间：2017-09-17 18:50:34
第2组第6题的得分为150, 备注信息：, 时间：2017-09-17 18:50:54
第11组第4题的得分为70, 备注信息：, 时间：2017-09-17 18:51:14
第1组第1题的得分为110, 备注信息：, 时间：2017-09-17 18:51:28
第9组第5题的得分为102, 备注信息：, 时间：2017-09-17 18:51:29
第2组第6题的得分为150, 备注信息：, 时间：2017-09-17 18:51:55
第7组第10题的得分为1, 备注信息：, 时间：2017-09-17 18:52:27
第9组第5题的得分为102, 备注信息：, 时间：2017-09-17 18:52:46
第1组第1题的得分为110, 备注信息：, 时间：2017-09-17 18:53:08
第1组第8题的得分为120, 备注信息：, 时间：2017-09-17 18:53:12
第2组第6题的得分为150, 备注信息：, 时间：2017-09-17 18:53:40
第5组第3题的得分为95, 备注信息：, 时间：2017-09-17 18:53:51
第1组第1题的得分为110, 备注信息：, 时间：2017-09-17 18:54:00
第9组第5题的得分为102, 备注信息：, 时间：2017-09-17 18:54:07
第5组第3题的得分为95, 备注信息：, 时间：2017-09-17 18:55:14
第5组第10题的得分为1, 备注信息：, 时间：2017-09-17 18:55:20
第1组第8题的得分为120, 备注信息：, 时间：2017-09-17 18:55:30
第6组第2题的得分为100, 备注信息：, 时间：2017-09-17 18:56:07
第11组第10题的得分为1, 备注信息：, 时间：2017-09-17 18:57:18
第1组第1题的得分为110, 备注信息：, 时间：2017-09-17 18:57:41
第1组第1题的得分为110, 备注信息：, 时间：2017-09-17 18:57:49
第9组第5题的得分为102, 备注信息：, 时间：2017-09-17 18:58:59
第6组第9题的得分为100, 备注信息：, 时间：2017-09-17 18:59:06
第1组第3题的得分为95, 备注信息：, 时间：2017-09-17 18:59:19
第2组第6题的得分为150, 备注信息：, 时间：2017-09-17 18:59:24
第4组第6题的得分为50, 备注信息：, 时间：2017-09-17 18:59:39
第9组第3题的得分为110, 备注信息：, 时间：2017-09-17 19:01:07
第9组第3题的得分为110, 备注信息：, 时间：2017-09-17 19:01:33
